,,ASOCIACIÓN ESPAÑOLA DE POWERLIFTING,,,,,,
,,CALENDARIO de COMPETICIONES 2026,,,,,,
,,* Actualizado a 13 de enero de 2026,,,, ,,
,,,,,,,,
,FECHA,COMPETICIONES 1º TRIMESTRE 2026,LOCALIDAD,ORGANIZADOR,NIVEL,DIVISIONES,PBM,R/E
ENE,17-ene,Copa de los Pirineos: Francia-España,Valladolid,ESPAÑA,AEP1,OPEN (SUB-25),P,R
,24-25 ene,AEP 3 - IV Copa Black Crown - Madrid,"Arganda del Rey
(Madrid)",Black Crown,AEP3,OPEN,P-B,R
FEB,7-8 feb,AEP 3 - Comarca de Guadalteba - Málaga,"Campillos 
(Málaga)",Energy Alhaurin,AEP3,OPEN,P-B,R
,07-15 feb,EUROPEAN Masters Classic Powerlifting Championships,Place Oulu,Finland,EPF,MASTERs,P,R
,21-22 feb,AEP 3 - Hirugorri txapelketa - Vitoria,"Vitoria-Gasteiz
(Araba)",Hirugorri,AEP3,OPEN,P-B,R
,28-01 feb-mar,"CENTRO-2, Madrid - II Campeonato Intend Power","Cotos de Monterrey 
(Madrid)",Intend Power,AEP2,OPEN,P-B,R-E
MAR,7-8 mar,AEP 3 - I Copa Bollodromo,Tarragona,Federación Catalana,AEP3,OPEN,P-B,R
,15-22 mar,EUROPEAN Open Classic Powerlifting Championships,Valetta,Malta,EPF,OPEN,P,R
,21-22 mar,AEP 3 - IV BLACK ONI,Murcia,Myrthea,AEP3,OPEN,P-B,R
,21-22 mar,"NOROESTE-2, Aragón-Cantabria-Euskadi-La Rioja-Navarra","Soto de la Marina
(Cantabria)
",Young Ambition,AEP2,OPEN,P-B,R-E
,28-29 mar,Campeonato de ESPAÑA de Press Banca y Peso Muerto,"El Viso de San Juan 
(Toledo)",Berserkers,AEP1,OPEN,B-M,R-E
,28-29 mar,"CENTRO-1, Castilla-La Mancha y Extremadura - IV Regional Reino de Toledo","El Viso de San Juan 
(Toledo)",Berserkers,AEP2,OPEN,P-B,R-E
,28-29 mar,AEP 3 - Conquer Power Cup - Gijon,"Gijon
(Asturias)",Conquer,AEP3,OPEN,P-B,R
,,COMPETICIONES 2º TRIMESTRE 2026,LOCALIDAD,ORGANIZADOR,NIVEL,DIVISIONES,PBM,R/E
ABR,4-5 abr,AEP 3 - Campeonato de Canarias,"Arinaga
(Las Palmas De Gran Canaria)",Fuerza Guanche,AEP3,OPEN,P-B,R
,11-12 abr,Campeonato de ESPAÑA SUB JUNIOR,"Marbella
(Málaga)",Energy Alhaurin,AEP1,SUBJ,P,R
,11-12 abr,ANDALUCIA - Energy Cup,"Marbella
(Málaga)",Energy Alhaurin,AEP2,OPEN,P-B,R-E
